"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"393","福建","厦门理工学院","公办普通本科","4135011062","福建省","厦门市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"390","福建","武夷学院","公办普通本科","4135010397","福建省","南平市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"772","甘肃","甘肃农业大学","公办普通本科","4162010733","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"785","甘肃","甘肃医学院","公办普通本科","4162011805","甘肃省","平凉市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"781","甘肃","甘肃政法大学","公办普通本科","4162011406","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"773","甘肃","甘肃中医药大学","公办普通本科","4162010735","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"778","甘肃","河西学院","公办普通本科","4162010740","甘肃省","张掖市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"779","甘肃","兰州财经大学","公办普通本科","4162010741","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"775","甘肃","兰州城市学院","公办普通本科","4162010737","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"769","甘肃","兰州大学","公办普通本科","4162010730","教育部","兰州市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"786","甘肃","兰州工业学院","公办普通本科","4162011807","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"771","甘肃","兰州交通大学","公办普通本科","4162010732","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"770","甘肃","兰州理工大学","公办普通本科","4162010731","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"787","甘肃","兰州石化职业技术大学","公办职业本科","4162016209","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"784","甘肃","兰州文理学院","公办普通本科","4162011562","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"788","甘肃","兰州资源环境职业技术大学","公办职业本科","4162016208","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"776","甘肃","陇东学院","公办普通本科","4162010738","甘肃省","庆阳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"777","甘肃","天水师范学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"780","甘肃","西北民族大学","公办普通本科","4162010742","国家民委","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"774","甘肃","西北师范大学","公办普通本科","4162010736","甘肃省","兰州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"590","广东","东莞理工学院","公办普通本科","4144011819","广东省","东莞市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"592","广东","佛山科学技术学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"584","广东","广东财经大学","公办普通本科","4144010592","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"591","广东","广东第二师范学院","公办普通本科","4144014278","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
